name,displayName,h,a,b,c,d,s,total,maxSpeedWithScarf,maxSpeed,secondSpeed,noAdjustment,minSpeed
ニャオハ,ニャオハ,40,61,54,45,45,65,310,192,128,117,85,63
ニャローテ,ニャローテ,61,80,63,60,63,83,410,222,148,135,103,79
マスカーニャ,マスカーニャ,76,110,70,81,70,123,530,288,192,175,143,115
ホゲータ,ホゲータ,67,45,59,63,40,36,310,144,96,88,56,36
アチゲータ,アチゲータ,81,55,78,90,68,49,421,166,111,101,69,48
ラウドボーン,ラウドボーン,104,75,100,110,75,66,530,193,129,118,86,63
クワッス,クワッス,55,65,45,50,45,50,310,168,112,102,70,49
ウェルカモ,ウェルカモ,70,85,65,65,60,65,410,192,128,117,85,63
ウェーニバル,ウェーニバル,85,120,80,85,75,85,530,225,150,137,105,81
グルトン,グルトン,54,45,40,35,45,35,254,142,95,87,55,36
パフュートン,パフュートン♂,110,100,75,56,80,65,486,192,128,117,85,63
パフュートン,パフュートン♀,115,90,70,59,90,65,489,192,128,117,85,63
タマンチュラ,タマンチュラ,35,41,45,29,40,20,210,118,79,72,40,22
ワナイダー,ワナイダー,65,79,92,52,86,35,409,142,95,87,55,36
マメバッタ,マメバッタ,33,46,40,21,25,45,210,159,106,97,65,45
エクスレッグ,エクスレッグ,71,102,78,52,55,92,450,237,158,144,112,87
ハネッコ,ハネッコ,35,35,40,35,55,50,250,168,112,102,70,49
ポポッコ,ポポッコ,55,45,50,45,65,80,340,217,145,132,100,76
ワタッコ,ワタッコ,75,55,70,55,95,110,460,267,178,162,130,103
ヤヤコマ,ヤヤコマ,45,50,43,40,38,62,278,187,125,114,82,60
ヒノヤコマ,ヒノヤコマ,62,73,55,56,52,84,382,223,149,136,104,80
ファイアロー,ファイアロー,78,81,71,74,69,126,499,292,195,178,146,117
パモ,パモ,45,50,20,40,25,60,240,184,123,112,80,58
パモット,パモット,60,75,40,50,40,85,350,225,150,137,105,81
パーモット,パーモット,70,115,70,70,60,105,490,258,172,157,125,99
デルビル,デルビル,45,60,30,80,50,65,330,192,128,117,85,63
ヘルガー,ヘルガー,75,90,50,110,80,95,500,241,161,147,115,90
ヤングース,ヤングース,48,70,30,30,30,45,253,159,106,97,65,45
デカグース,デカグース,88,110,60,55,60,45,418,159,106,97,65,45
ホシガリス,ホシガリス,70,55,55,35,35,25,275,126,84,77,45,27
ヨクバリス,ヨクバリス,120,95,95,55,75,20,460,118,79,72,40,22
ヒマナッツ,ヒマナッツ,30,30,30,30,30,30,180,135,90,82,50,31
キマワリ,キマワリ,75,75,55,105,85,30,425,135,90,82,50,31
コロボーシ,コロボーシ,37,25,41,25,41,25,194,126,84,77,45,27
コロトック,コロトック,77,85,51,55,51,65,384,192,128,117,85,63
コフキムシ,コフキムシ,38,35,40,27,25,35,200,142,95,87,55,36
コフーライ,コフーライ,45,22,60,27,30,29,213,133,89,81,49,30
ビビヨン,ビビヨン,80,52,50,90,50,89,411,232,155,141,109,84
ミツハニー,ミツハニー,30,30,42,30,42,70,244,201,134,122,90,67
ビークイン,ビークイン,70,80,102,80,102,40,474,151,101,92,60,40
ココガラ,ココガラ,38,47,35,33,35,57,245,178,119,109,77,55
アオガラス,アオガラス,68,67,55,43,55,77,365,211,141,129,97,73
アーマーガア,アーマーガア,98,87,105,53,85,67,495,195,130,119,87,64
ピンプク,ピンプク,100,5,5,15,65,30,220,135,90,82,50,31
ラッキー,ラッキー,250,5,5,35,105,50,450,168,112,102,70,49
ハピナス,ハピナス,255,10,10,75,135,55,540,175,117,107,75,54
ルリリ,ルリリ,50,20,40,20,40,20,190,118,79,72,40,22
マリル,マリル,70,20,50,20,50,40,250,151,101,92,60,40
マリルリ,マリルリ,100,50,80,60,80,50,420,168,112,102,70,49
アメタマ,アメタマ,40,30,32,50,52,65,269,192,128,117,85,63
アメモース,アメモース,70,60,62,100,80,80,452,217,145,132,100,76
ブイゼル,ブイゼル,55,65,35,60,30,85,330,225,150,137,105,81
フローゼル,フローゼル,85,105,55,85,50,115,495,274,183,167,135,108
ウパー,ウパー(パルデア),55,45,45,25,25,15,210,109,73,67,35,18
ドオー,ドオー,130,75,60,45,100,20,430,118,79,72,40,22
コダック,コダック,50,52,48,65,50,55,320,175,117,107,75,54
ゴルダック,ゴルダック,80,82,78,95,80,85,500,225,150,137,105,81
カムカメ,カムカメ,50,64,50,38,38,44,284,157,105,96,64,44
カジリガメ,カジリガメ,90,115,90,48,68,74,485,207,138,126,94,71
ププリン,ププリン,90,30,15,40,20,15,210,109,73,67,35,18
プリン,プリン,115,45,20,45,25,20,270,118,79,72,40,22
プクリン,プクリン,140,70,45,85,50,45,435,159,106,97,65,45
ラルトス,ラルトス,28,25,25,45,35,40,198,151,101,92,60,40
